IDENTIFIER	NAME	IMAGE	LEVEL	hp	maxHp	damage	accuracy	cRate	cDamage	bRate	defence	earthReduction	waterReduction	fireReduction	physicalReduction	SKILLS	ITEMS	XP	EUROS	FLEEABLE	DEATH_HP	MUSIC	UNIQUE	LIVING
Duner	Duner	Duner	60	1000000	1000000	400	70	1	200	25	5000	99	90	95	98	{'Quicksand': 4, 'Duststorm': 2, 'Battery Cage': 6}	{}	-1	0	1	0	Game Over Theme	0	1
Magus's Henchman	Magus's Henchman	Henchman	35	0	0	0	0	0	0	0	0	0	0	0	0	{}	{'Flame Guard': 10}	2700	0	1	0	None	0	1
Arcane Sorcerer	Dark Sorcerer	Arcane Sorcerer	37	0	0	0	0	0	0	0	0	0	0	0	0	{}	{'Dark Plate': 7}	3100	0	1	0	None	0	1
Death Warrior	Death Warrior	Death Warrior	38	0	0	0	0	0	0	0	0	0	0	0	0	{}	{'Dark Plate': 7}	3300	0	1	0	None	0	0
Masked Magus	Masked Magus	Death Magus	39	0	0	0	0	0	0	0	0	0	0	0	0	{}	{'Avadavra Wand': 5, 'Glowing Barrier': 8}	3500	0	1	0	None	0	0
Time Wizard	Time Wizard	Time Wizard	44	0	0	0	0	0	0	0	0	0	0	0	0	{'Temporal Shift': 20, 'Fireball': 15}	{'Horological Wand': 7}	5000	0	1	0	None	0	1
Abomination	Abomination	Abomination	40	0	0	0	0	0	0	0	0	0	0	0	0	{}	{}	3800	0	1	0	None	0	1
Fire Zealot	Fire Zealot	Fire Zealot	41	0	0	0	0	0	0	0	0	0	0	0	0	{}	{'Bloodfire Cloak': 50, 'Gilded Robe': 50}	4100	0	1	0	None	1	1
Choronzon	Balrog	Conjured Demon	42	0	0	0	0	0	0	0	0	0	0	0	0	{}	{'Flametongue': 5, 'Glowing Barrier': 8}	4400	0	1	0	None	0	1
Occult Conjurer	Occult Conjurer	Conjurer	43	0	0	0	0	0	0	0	0	0	0	0	0	{}	{'Arcane Vestment': 50, 'Impwood Wand': 50}	4700	0	1	0	None	1	1
Magus Predecessor	Magus Predecessor	Undead Magus	44	0	0	0	0	0	0	0	0	0	0	0	0	{}	{'Luminescent Barrier': 50, 'Shamanic Robes': 50}	5000	0	1	0	None	1	0
Corporeal Magus	Corporeal Magus	Magus Wraith	45	0	0	0	0	0	0	0	0	0	0	0	0	{}	{'Dark Mail': 7, 'Shadow Mail': 2}	5400	0	1	0	None	0	0
Touin DePenk	Touin DePenk	Touin DePenk	45	0	0	0	0	0	0	0	0	0	0	0	0	{}	{'Giant Axe': 12, 'Dehiscer': 6}	5400	0	1	2	Important Battle	0	1
Wonnen Daztinque	Wonnen Daztinque	Wonnen Daztinque	45	0	0	0	0	0	0	0	0	0	0	0	0	{}	{'Flametongue': 12, 'Stinkblade': 6}	5400	0	1	1	Important Battle	0	1
Dougou	Dougou	Dougou	46	0	0	0	0	0	0	0	0	0	0	0	0	{}	{'Skull Shield': 12}	5800	0	1	0	Important Battle	0	0
Niplin	Niplin	Niplin	72	0	0	0	0	0	0	0	0	0	0	0	0	{}	{'Niplin\'s Greatsword': 50, 'Niplin\'s Breastplate': 50}	1	0	0	0	Niplin Battle	1	1
Riplin	Riplin	Riplin	74	0	0	0	0	0	0	0	0	0	0	0	0	{}	{}	999999	50000	0	0	Final Battle	1	1
Gargoyle	Aged Gargoyle	Gargoyle	24	33	3300	50	50	10	200	0	200	50	100	0	50	{'Freezing Arrow': 9, 'Mist': 6, 'Swoop': 7}	{'Luminescent Barrier': 1, 'Ash Bow': 5}	10	0	1	0	None	0	1
Ice Elemental	Ice Elemental	Ice Elemental	22	2100	2100	25	90	10	200	0	30	0	90	-100	25	{'Icicles': 40, 'Hailstorm': 30, 'Healing Glow': 20, 'Rock Shot': 10}	{'Radiant Barrier': 15}	900	0	1	0	None	0	0
Ryfil the Kid	Ryfil the Kid	Ryfil the Kid	6	150	150	0	100	0	200	0	0	-100	-100	-100	-100	{'Cower': 100}	{'Cotton Shirt': 100}	100	2	1	0	None	1	1
